input,standardised
beans,bean
bean,beans
act,acts
animal,livestock
animals,livestock
intercrop,intercrop
intercropped,intercrop
intercroped,intercrop
intercropping,intercrop
resistance,resistant
resistant,resistant
resists,resistant
grows,grow
crops,crop
yields,yield
yielding,yield
yielded,yield
variety,variety
varieties,variety
variety,
diseases,disease
vit,vitamin
withstands,withstand
withstanding,withstand
fertilizers,fertilizer
fertilisers,fertilizer
fertiliser,fertilizer
since,
farmer,farmer
like,
per,
thus,
half,
one,
two,
three,
four,
five,
six,
seven,
eight,
nine,
ten,
can,
con,
get,
without,
becauses,
because,
well,
don,
lower,low
pigs,livestock
pig,livestock
cow,livestock
sheep,livestock
cows,livestock
feeding,feed
marketable,market
soils,soil
dry,drought
home,household
short,shorter
feeds,feed
hence,
with,
that,
used,
will,
may,
while,
nitrogen,Nitrogen
also,
vitamins,vitamin
family,household
shorterer,shorter
short,shorter
livestocks,livestock
prefer,prefers 
humans,human
fed,feed
chicken,poultry
chickens,poultry
duck,poultry
ducks,poultry
turkey,poultry
requirements,requirement
nutrients,nutrient
cob,cobs
nutrious,nutritious
seasons,season
season,seasons
periods,period
period,periods
faster,fast
corns,cobs
corn,maize
resists,resist
resistant,resist
resist,resistant
fertile,fertility
feed,fodder
vitamin,nutritious
upto,
rains,rain
rainfall,rain
rain,rainfall
weavils,pests
weevils,pests
weevil,pests
healthy,nutritious
grainfall,rainfall
even,
due,
adds,
two,
intercroping,intercrop
puts,
harvesting,harvest
harvests,harvest
uses,use
use,uses
yiels,yields
matures,maturity
maturing,maturity
mature,maturity
livestockgery,livestock
cattle,livestock
stored,storage
kept,storage
hens,poultry
rears,rearing
reason,
rare,
cs,
caroe,
iod,
within,
kids,children
colour,color
chidren,children
child,children
childrens,children
fertilzers,fertilizer
fertlizer,fertilizer
yeilds,yield
yeild,yield
yields,yield
witout,without
works,work
tastier,tasty
thrives,thrive
stronge,strong
stronger,strong
stands,stands
spoilt,spoils
spoiled,spoils
sources,source
sized,size
shortest,shorter
seeds,seed
recomends,recommend
recommended,recommend
rainy,rainfall
provides,provides
unpredictablee,unpredictable
resirient,resilient
resilent,resilient
afected,affected
allow,allows
achieve,achieves
achieved,achieves
anjmals,livestock
animalsand,livestock
animalsnot,livestock
animalsb,livestock
bescauses,because
benefit,benefits
avoid,avoids
avoidance,avoids
bigger,big
cones,cob
store,storage
longer,long
fertilizerresistant,fertilizer
demand,demands
alsobe,
ths,
reduce,reduces
pro,
consumptionfodder,consumption
ans,
bears,beans
culvate,cultivate
birdslivestock,livestock
beingsit,
basing,
varirty,variety
takesa,takes
veriety,variety
want,wants
yeildgrow,yield
beata,
nutriousamin,nutritious
piggery,pigs
animal,animals
cattle,livestock
bigger,big
stored,storage
intercropping,intercrop
intercropped,intercrop
vitamins,vitamin
childrens,children
hight,high
mon,months
majoly,
spacing,space
preferes ,prefers 
processing,process
prise,price
profirable,profitable
produce,produces
preferance,preference
