"concept","word","country","gender","preference","id"
"Green maize","The variety has hight yields","Kenya","Female","Preferred",1
"Resilience","During drought season I can get a good yield which is what we want","Kenya","Male","Preferred",2
"Drought avoidance","It matures fast","Kenya","Female","Preferred",3
"Home use","Because his main reason for growing maize is home consumption and this variety is mainly for home uses.","Kenya","Male","Preferred",4
"Drought avoidance","It`s drought resistance Takes shorter period only three and half months to harvest","Kenya","Female","Preferred",5
"Food and fodder","Both for livestock and human.","Kenya","Male","Preferred",6
"Intercropping (with beans)","It is more productive","Kenya","Male","Preferred",7
"Drought avoidance","It matures early","Kenya","Female","Preferred",8
"Drought avoidance","It is drought resistant Requires less fertilizers","Kenya","Male","Preferred",9
"Intercropping (with beans)","Double yield and lower use of Fertiliser","Kenya","Female","Preferred",10
"Food and fodder","Good for livestock and human consumption. Large cobs.","Kenya","Female","Preferred",11
"Resilience","It is resistant to diseases and drought","Kenya","Male","Preferred",12
"Intercropping (with beans)","There is higher yields expected from the variety.","Kenya","Female","Preferred",13
"Drought avoidance","The variety can bring forth yield during drought and Rain season.","Kenya","Female","Preferred",14
"Intercropping (with beans)","It can bd intercropped with beans and still does better which is good for a small parcel of land It doesn`t need a lot of Fertiliser","Kenya","Female","Preferred",15
"Livestock feed","Because we have reared livestock and this is a good source of feeds","Kenya","Male","Preferred",16
"Food and fodder","Both for livestock and home use.","Kenya","Male","Preferred",17
"Intercropping (with beans)","It is good for intercropping","Kenya","Female","Preferred",18
"Green maize","High yielding whether harvested green or dry Good taste for both green and maize meal","Kenya","Male","Preferred",19
"Drought avoidance","Because I can plant it on January during dry season and still harvest .","Kenya","Female","Preferred",20
"Family nutrition","The variety is highly nutrious. High yields. Has market.","Kenya","Female","Preferred",21
"Food and fodder","It can be used for two purposes feed for livestock and as food by household","Kenya","Female","Preferred",22
"Food and fodder","It can be used for both for livestock feeds and home consumption.","Kenya","Male","Preferred",23
"Intercropping (with beans)","It can be intercropped with beans","Kenya","Male","Preferred",24
"Family nutrition","Has a lot of nutrients in it","Kenya","Male","Preferred",25
"Drought avoidance","Less maturity time.","Kenya","Male","Preferred",26
"Intercropping (with beans)","High yielding, adds nutrients to the soil.","Kenya","Male","Preferred",27
"Home use","It`s importance is mostly home based.","Kenya","Female","Preferred",28
"Intercropping (with beans)","You can intercrop,more nutrients are added in the soil, big maize cobs.","Kenya","Male","Preferred",29
"Resilience","You still harvest under harsh environmental conditions.","Kenya","Female","Preferred",30
"Family nutrition","Does well even during drought","Kenya","Female","Preferred",31
"Drought avoidance","It does well during rains and drought seasons","Kenya","Female","Preferred",32
"Green maize","It`s more less the same as the normal variety I use","Kenya","Female","Preferred",33
"Family nutrition","Contains vitamin A High yields during drought and rainy seasons.","Kenya","Female","Preferred",34
"Home use","Pest resistant","Kenya","Male","Preferred",35
"Drought avoidance","Still farmer will harvest incase of drought","Kenya","Female","Preferred",36
"Intercropping (with beans)","Low fertiliser","Kenya","Male","Preferred",37
"Drought avoidance","Perform well during rainy and droughts season","Kenya","Female","Preferred",38
"Green maize","Good for commercial use","Kenya","Female","Preferred",39
"Drought avoidance","Farmer is sure will harvest despite the drought","Kenya","Female","Preferred",40
"Family nutrition","Presence of vitamin D","Kenya","Male","Preferred",41
"Family nutrition","Very healthy for children","Kenya","Male","Preferred",42
"Resilience","Resilient to diseases","Kenya","Female","Preferred",43
"Drought avoidance","Adopts in changing climate especially in drought seasons","Kenya","Female","Preferred",44
"Family nutrition","Highly nutritive (vitamin A)","Kenya","Male","Preferred",45
"Drought avoidance","The variety can be intercroped with another crop","Kenya","Female","Preferred",46
"Resilience","Because the variety has more tolerance to diseases and drought resistant","Kenya","Male","Preferred",47
"Food and fodder","The variety can be used for food and also fed to livestock","Kenya","Male","Preferred",48
"Drought avoidance","The variety can withstand drought","Kenya","Male","Preferred",49
"Drought avoidance","The variety has short maturity period","Kenya","Male","Preferred",50
"Family nutrition","The high nutrition value. It can have a ready market.","Kenya","Male","Preferred",51
"Home use","Shorter maturity period.","Kenya","Female","Preferred",52
"Food and fodder","Its use as animal feed","Kenya","Male","Preferred",53
"Home use","Its good for home use.","Kenya","Female","Preferred",54
"Intercropping (with beans)","Good harvest and less input use","Kenya","Female","Preferred",55
"Drought avoidance","Ability to withstand drought and good quality of maize","Kenya","Male","Preferred",56
"Family nutrition","It has vitamin A contents, it can also withstand drought and diseases moderately.","Kenya","Male","Preferred",57
"Drought avoidance","It can withstand drought also you can harvest incase there`s drought","Kenya","Female","Preferred",58
"Food and fodder","It will be useful to the farmers livestocks and the household at large","Kenya","Male","Preferred",59
"Home use","It has good taste","Kenya","Female","Preferred",60
"Food and fodder","Relatively higher grain yield, also moderate fertilizer requirements","Kenya","Female","Preferred",61
"Family nutrition","Presence of Vitamin A, and moderate grain yield","Kenya","Female","Preferred",62
"Resilience","High resistance to diseases and drought| low fertilizer requirements| short duration to maturity","Kenya","Male","Preferred",63
"Drought avoidance","High resistance to drought","Kenya","Male","Preferred",64
"Intercropping (with beans)","Less fertilizer requirements","Kenya","Female","Preferred",65
"Food and fodder","It can be fed to both human and livestock","Kenya","Female","Preferred",66
"Resilience","It is resistant to pests and diseases","Kenya","Female","Preferred",67
"Livestock feed","It is used for livestock and human consumption","Kenya","Male","Preferred",68
"Drought avoidance","The weather nowadays is not predicted so drought resistant varieties are better","Kenya","Female","Preferred",69
"Drought avoidance","It is resistant to diseases and drought","Kenya","Female","Preferred",70
"Intercropping (with beans)","Can be intercropped with beans","Kenya","Male","Preferred",71
"Home use","Can used to meet household food requirements because its solely for that purpose","Kenya","Female","Preferred",72
"Livestock feed","Multipurpose use| for both human and animal consumption","Kenya","Male","Preferred",73
"Resilience","Adaptable to different weather conditions","Kenya","Male","Preferred",74
"Intercropping (with beans)","Adds nutrients to the soil","Kenya","Male","Preferred",75
"Resilience","Food first(the priority is food)","Kenya","Female","Preferred",76
"Home use","Feeding family","Kenya","Male","Preferred",77
"Food and fodder","Human consumption and animals","Kenya","Male","Preferred",78
"Livestock feed","High expectation of profits","Kenya","Female","Preferred",79
"Drought avoidance","Early harvesting","Kenya","Female","Preferred",80
"Intercropping (with beans)","Because it can be intercropped with beans that means a double harvest","Kenya","Male","Preferred",81
"Intercropping (with beans)","It can be intercropped with beans","Kenya","Male","Preferred",82
"Drought avoidance","It is drought tolerate and diseases and pest resistant","Kenya","Male","Preferred",83
"Home use","Because of the longer storage duration without pest invasion.","Kenya","Female","Preferred",84
"Resilience","It is drought resistant variety which is suitable for the area where the farmer comes from since the area is dry","Kenya","Female","Preferred",85
"Home use","The floor is white and taste is good.","Kenya","Male","Preferred",86
"Family nutrition","It`s nutritious for small children .","Kenya","Female","Preferred",87
"Intercropping (with beans)","Can be planted with beans thus yields for both maize and beans","Kenya","Female","Preferred",88
"Resilience","It`s resistant to drought and diseases.","Kenya","Male","Preferred",89
"Family nutrition","Gives dry maize for home use,nutritious for children too.","Kenya","Male","Preferred",90
"Family nutrition","It contains vitamin A which improves the health of children","Kenya","Female","Preferred",91
"Intercropping (with beans)","The seed concept variety gives two cobs per plant","Kenya","Female","Preferred",92
"Intercropping (with beans)","It can be intercropped with beans","Kenya","Female","Preferred",93
"Home use","It gives enough food for home use","Kenya","Male","Preferred",94
"Food and fodder","The seed concept variety can be used for consumption and as fodder","Kenya","Male","Preferred",95
"Intercropping (with beans)","High yields for both crops","Kenya","Male","Preferred",96
"Food and fodder","Can be eaten and fed to anjmals","Kenya","Male","Preferred",97
"Food and fodder","Good for home and livestock use","Kenya","Male","Preferred",98
"Drought avoidance","Shorter maturity period","Kenya","Female","Preferred",99
"Resilience","Can do well and help us in our area","Kenya","Female","Preferred",100
"Drought avoidance","With the climate changes being experienced here it`s draught resisting characteristics makes it preferable","Kenya","Male","Preferred",101
"Resilience","The seeds variety can do well even when there`s scarcity of rain and low soil fertility","Kenya","Male","Preferred",102
"Intercropping (with beans)","It can be intercropped and do well","Kenya","Female","Preferred",103
"Home use","It`s mainly for home consumption","Kenya","Female","Preferred",104
"Family nutrition","It`s nutritious value to children","Kenya","Female","Preferred",105
"Home use","It`s suitable for feeding children.","Kenya","Male","Preferred",106
"Resilience","High yielding than the neighbour`s yield when there low rainfall.","Kenya","Female","Preferred",107
"Resilience","Resisting drought and doing well with less rainfall.","Kenya","Female","Preferred",108
"Intercropping (with beans)","Intercropping but still yields high produce","Kenya","Female","Preferred",109
"Food and fodder","The fact that it can be used as food at home and feed for dairy animals","Kenya","Male","Preferred",110
"Intercropping (with beans)","Because it can be intercropped with beans.","Kenya","Male","Preferred",111
"Livestock feed","Feed to animals","Kenya","Female","Preferred",112
"Livestock feed","Because it has multiple use","Kenya","Female","Preferred",113
"Home use","Average harvest","Kenya","Male","Preferred",114
"Food and fodder","Because it has multiple use.","Kenya","Female","Preferred",115
"Family nutrition","Health benefits (additional nutrients)","Kenya","Female","Preferred",116
"Intercropping (with beans)","Can plant multiple crops at the same time","Kenya","Female","Preferred",117
"Resilience","Grows well under different(their) soils and weather conditions Low fertilizer use","Kenya","Female","Preferred",118
"Intercropping (with beans)","Can do well with more than one crop","Kenya","Male","Preferred",119
"Home use","Higher yields","Kenya","Female","Preferred",120
"Intercropping (with beans)","Harvest from both from maize and beans","Kenya","Female","Preferred",121
"Resilience","No loss in case of drought","Kenya","Male","Preferred",122
"Drought avoidance","No fear of farm loss","Kenya","Male","Preferred",123
"Resilience","No crop loss","Kenya","Female","Preferred",124
"Intercropping (with beans)","Used to by experience","Kenya","Male","Preferred",125
"Intercropping (with beans)","The plant produces two cobs per plant","Kenya","Female","Preferred",126
"Food and fodder","It serves both as food for consumption and as animal feeds","Kenya","Male","Preferred",127
"Resilience","It can endure and grow in sporadic and low rainfall","Kenya","Male","Preferred",128
"Family nutrition","Because it`s rich in vitamin A which is important for healthy children and can be used in schools","Kenya","Female","Preferred",129
"Food and fodder","It`s used for both consumption and as animal fodder","Kenya","Male","Preferred",130
"Resilience","It` is drought resistance,less fertilizer usage","Kenya","Female","Preferred",131
"Intercropping (with beans)","The intercropping with beans will result to double harvest.","Kenya","Male","Preferred",132
"Green maize","It`s good for business, generates income from sales,tastes good.","Kenya","Female","Preferred",133
"Intercropping (with beans)","Intercropping will save the farming area,and use less fertilizer.","Kenya","Male","Preferred",134
"Family nutrition","Nutritious for young children, good for overall health.","Kenya","Male","Preferred",135
"Food and fodder","Because it has multiple use, as animal feed and consumption","Kenya","Male","Preferred",136
"Intercropping (with beans)","Because it is high yielding","Kenya","Female","Preferred",137
"Food and fodder","Multiple use,as animal feed and human consumption","Kenya","Male","Preferred",138
"Intercropping (with beans)","Because it is high yielding when there`s enough rain","Kenya","Male","Preferred",139
"Home use","Because it is drought resistant","Kenya","Male","Preferred",140
"Drought avoidance","Assured harvests even during drought","Kenya","Female","Preferred",141
"Family nutrition","Good for family","Kenya","Female","Preferred",142
"Home use","I need to feed my family","Kenya","Male","Preferred",143
"Green maize","I can sell to get good money","Kenya","Male","Preferred",144
"Intercropping (with beans)","Better yields for maize because of the good spacing","Kenya","Female","Preferred",145
"Drought avoidance","Surety about harvesting","Kenya","Female","Preferred",146
"Intercropping (with beans)","Harvest from both beans and maize","Kenya","Female","Preferred",147
"Home use","Good taste of ugali","Kenya","Male","Preferred",148
"Home use","Ugali(staple food)","Kenya","Male","Preferred",149
"Family nutrition","A lot vitamins for good health","Kenya","Female","Preferred",150
"Drought avoidance","Pending","Kenya","Male","Preferred",151
"Food and fodder","Because it can be used for both human and livestock consumption.","Kenya","Female","Preferred",152
"Intercropping (with beans)","Can be planted together with other crops eg legumes which acts as nitrogen fixers to the soil this increases soil fertility in readiness for the next season.","Kenya","Male","Preferred",153
"Resilience","High yields Drought resistant","Kenya","Male","Preferred",154
"Food and fodder","It`s used for both consumption and animal fodder","Kenya","Female","Preferred",155
"Drought avoidance","Produces more yield than normal varieties during drought","Kenya","Female","Preferred",156
"Intercropping (with beans)","Good for food security when land is small sized","Kenya","Male","Preferred",157
"Family nutrition","Presence of vitamin A","Kenya","Male","Preferred",158
"Food and fodder","Achieves food security for both human and livestock","Kenya","Male","Preferred",159
"Livestock feed","Good source of fibre to livestock","Kenya","Male","Preferred",160
"Drought avoidance","The variety is has high tolerance to drought and mature faster","Kenya","Female","Preferred",161
"Resilience","The variety has high resistance to diseases","Kenya","Female","Preferred",162
"Drought avoidance","The variety does well even during drought","Kenya","Male","Preferred",163
"Family nutrition","The variety is sweet and has vitamins good for children","Kenya","Female","Preferred",164
"Resilience","The variety is highly resistant to and also has less fertiliser requirement","Kenya","Male","Preferred",165
"Family nutrition","Good for children consumption as it has high vitamins","Kenya","Female","Preferred",166
"Drought avoidance","Drought avoidance","Kenya","Female","Preferred",167
