"concept","word","preference"
"Green Maize","hight","Preferred"
"Green Maize","yield","Preferred"
"Resilient","drought","Preferred"
"Resilient","seasons","Preferred"
"Resilient","good","Preferred"
"Resilient","yield","Preferred"
"Resilient","wants","Preferred"
"Drought Avoidance","maturity","Preferred"
"Drought Avoidance","fast","Preferred"
"Home Use & Family Consumption","main","Preferred"
"Home Use & Family Consumption","growing","Preferred"
"Home Use & Family Consumption","maize","Preferred"
"Home Use & Family Consumption","household","Preferred"
"Home Use & Family Consumption","consumption","Preferred"
"Home Use & Family Consumption","mainly","Preferred"
"Home Use & Family Consumption","household","Preferred"
"Home Use & Family Consumption","uses","Preferred"
"Drought Avoidance","drought","Preferred"
"Drought Avoidance","resistant","Preferred"
"Drought Avoidance","takes","Preferred"
"Drought Avoidance","shorter","Preferred"
"Drought Avoidance","periods","Preferred"
"Drought Avoidance","mon","Preferred"
"Drought Avoidance","harvest","Preferred"
"Feed & Fodder","livestock","Preferred"
"Feed & Fodder","human","Preferred"
"Intercropping","productive","Preferred"
"Drought Avoidance","maturity","Preferred"
"Drought Avoidance","early","Preferred"
"Drought Avoidance","drought","Preferred"
"Drought Avoidance","resistant","Preferred"
"Drought Avoidance","requires","Preferred"
"Drought Avoidance","less","Preferred"
"Drought Avoidance","fertilizer","Preferred"
"Intercropping","double","Preferred"
"Intercropping","yield","Preferred"
"Intercropping","low","Preferred"
"Intercropping","uses","Preferred"
"Intercropping","fertilizer","Preferred"
"Feed & Fodder","good","Preferred"
"Feed & Fodder","livestock","Preferred"
"Feed & Fodder","human","Preferred"
"Feed & Fodder","consumption","Preferred"
"Feed & Fodder","large","Preferred"
"Feed & Fodder","cob","Preferred"
"Resilient","resistant","Preferred"
"Resilient","disease","Preferred"
"Resilient","drought","Preferred"
"Intercropping","higher","Preferred"
"Intercropping","yield","Preferred"
"Intercropping","expected","Preferred"
"Drought Avoidance","bring","Preferred"
"Drought Avoidance","forth","Preferred"
"Drought Avoidance","yield","Preferred"
"Drought Avoidance","drought","Preferred"
"Drought Avoidance","rainfall","Preferred"
"Drought Avoidance","seasons","Preferred"
"Intercropping","intercrop","Preferred"
"Intercropping","still","Preferred"
"Intercropping","better","Preferred"
"Intercropping","good","Preferred"
"Intercropping","small","Preferred"
"Intercropping","parcel","Preferred"
"Intercropping","land","Preferred"
"Intercropping","doesnt","Preferred"
"Intercropping","need","Preferred"
"Intercropping","lot","Preferred"
"Intercropping","fertilizer","Preferred"
"Feed","reared","Preferred"
"Feed","livestock","Preferred"
"Feed","good","Preferred"
"Feed","source","Preferred"
"Feed","fodder","Preferred"
"Feed & Fodder","livestock","Preferred"
"Feed & Fodder","household","Preferred"
"Feed & Fodder","uses","Preferred"
"Intercropping","good","Preferred"
"Intercropping","intercrop","Preferred"
"Green Maize","high","Preferred"
"Green Maize","yield","Preferred"
"Green Maize","whether","Preferred"
"Green Maize","harvested","Preferred"
"Green Maize","green","Preferred"
"Green Maize","drought","Preferred"
"Green Maize","good","Preferred"
"Green Maize","taste","Preferred"
"Green Maize","green","Preferred"
"Green Maize","maize","Preferred"
"Green Maize","meal","Preferred"
"Drought Avoidance","plant","Preferred"
"Drought Avoidance","january","Preferred"
"Drought Avoidance","drought","Preferred"
"Drought Avoidance","seasons","Preferred"
"Drought Avoidance","still","Preferred"
"Drought Avoidance","harvest","Preferred"
"Nutritious","highly","Preferred"
"Nutritious","nutritious","Preferred"
"Nutritious","high","Preferred"
"Nutritious","yield","Preferred"
"Nutritious","market","Preferred"
"Feed & Fodder","purposes","Preferred"
"Feed & Fodder","fodder","Preferred"
"Feed & Fodder","livestock","Preferred"
"Feed & Fodder","food","Preferred"
"Feed & Fodder","household","Preferred"
"Feed & Fodder","livestock","Preferred"
"Feed & Fodder","fodder","Preferred"
"Feed & Fodder","household","Preferred"
"Feed & Fodder","consumption","Preferred"
"Intercropping","intercrop","Preferred"
"Nutritious","lot","Preferred"
"Nutritious","nutrient","Preferred"
"Drought Avoidance","less","Preferred"
"Drought Avoidance","maturity","Preferred"
"Drought Avoidance","time","Preferred"
"Intercropping","high","Preferred"
"Intercropping","yield","Preferred"
"Intercropping","nutrient","Preferred"
"Intercropping","soil","Preferred"
"Home Use & Family Consumption","importance","Preferred"
"Home Use & Family Consumption","mostly","Preferred"
"Home Use & Family Consumption","household","Preferred"
"Home Use & Family Consumption","based","Preferred"
"Intercropping","intercropmore","Preferred"
"Intercropping","nutrient","Preferred"
"Intercropping","added","Preferred"
"Intercropping","soil","Preferred"
"Intercropping","big","Preferred"
"Intercropping","maize","Preferred"
"Intercropping","cob","Preferred"
"Resilient","still","Preferred"
"Resilient","harvest","Preferred"
